Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2020-01-27 07:00:26",88.21,,,,,
"2020-01-25 12:07:48",88.49,,,,,
"2020-01-25 10:06:14",88.56,,,,,
"2020-01-24 12:48:00",88.54,,,,,
"2020-01-23 09:10:37",88.28,,,,,
"2020-01-23 09:10:13",88.40,,,,,
"2020-01-23 07:15:43",88.29,,,,,
"2020-01-22 12:10:07",87.84,,,,,
"2020-01-22 07:05:35",87.91,,,,,
"2020-01-21 12:00:19",88.03,,,,,
"2020-01-21 06:41:41",88.32,,,,,
"2020-01-20 08:44:43",89.47,,,,,
"2020-01-20 07:06:30",89.32,,,,,
"2020-01-18 09:51:38",88.84,,,,,
"2020-01-18 06:59:41",88.96,,,,,
"2020-01-17 07:02:29",89.08,,,,,
"2020-01-16 09:47:15",89.18,,,,,
"2020-01-16 07:10:44",89.18,,,,,
"2020-01-15 11:54:51",88.31,,,,,
"2020-01-15 06:26:33",88.72,,,,,
"2020-01-14 11:16:32",88.38,,,,,
"2020-01-13 10:46:56",89.32,,,,,
"2020-01-12 10:07:11",89.17,,,,,
"2020-01-11 07:57:06",89.38,,,,,
"2020-01-11 07:18:15",89.69,,,,,
"2020-01-10 07:13:37",89.40,,,,,
"2020-01-09 07:19:28",89.55,,,,,
"2020-01-08 07:11:25",89.30,,,,,
"2020-01-07 07:16:49",89.32,,,,,
"2020-01-06 07:47:49",90.29,,,,,
"2020-01-05 09:14:51",90.88,,,,,
"2020-01-04 13:59:12",90.38,,,,,
"2020-01-04 08:36:21",90.36,,,,,
"2020-01-03 08:13:59",90.24,,,,,
"2020-01-02 11:56:19",89.97,,,,,
"2020-01-01 12:07:29",91.31,,,,,
"2019-12-31 09:23:20",91.13,,,,,
"2019-12-30 10:56:01",90.10,,,,,
"2019-12-28 10:18:52",90.05,,,,,
"2019-12-27 12:08:45",89.55,,,,,
"2019-12-26 10:04:30",89.77,,,,,
"2019-12-24 09:05:01",89.92,,,,,
"2019-12-23 09:38:38",90.19,,,,,
"2019-12-22 11:33:10",90.47,,,,,
"2019-12-21 13:01:30",89.72,,,,,
"2019-12-20 06:15:53",89.64,,,,,
"2019-12-19 08:05:48",89.34,,,,,
"2019-12-19 07:14:24",89.30,,,,,
"2019-12-18 07:09:27",89.69,,,,,
"2019-12-17 07:00:09",89.69,,,,,
"2019-12-16 11:03:49",89.73,,,,,
